,sku,Units,Lines,unitspercase
141,MB40617796,1485,205,21
142,LB17973573,626,205,6
143,MB66082499,317,204,20
144,KB16185498,770,204,12
145,AB73250078,1092,204,30
146,SB22244116_f,514,204,21
147,YP04597050,289,203,21
148,SP04761744,255,203,21
149,MP04875351,219,202,6
150,KP04864356_f,233,201,21
151,MB65830574,614,201,12
152,MB66082088,318,200,20
153,SP04748455_f,240,200,21
154,AB88713597,220,200,18
155,LB17822543,389,200,4
156,SB28267663_f,232,200,21
157,LB17517858,235,199,6
158,SB27767591_f,415,199,21
159,LB17403360,809,199,12
160,KB16345212_f,462,199,21
161,AP04930278_f,289,199,21
162,MB78983984,1158,198,20
163,YP04543639,237,197,21
164,YP04903291_f,225,197,21
165,MB68634926_f,300,197,21
166,LP04938814,220,196,6
167,MB78982707,1155,195,20
168,LB17973492_f,495,195,21
169,AP04900222,233,194,10
170,LB17517874,242,194,6
171,YB27249501,298,194,60
172,SB28267676_f,398,194,21
173,KP04908127,218,194,8
174,LP04937868_f,230,194,21
175,SP04839424,221,193,24
176,YP04572001_f,250,193,21
177,AB93377672,1151,193,48
178,AB93377986_f,996,192,21
179,SB26964337,380,192,80
180,AB91015363,751,191,50
181,MB90482803,494,191,48
182,MB89979288,743,190,58
183,AB79800765,383,190,8
184,AB88713717,214,190,18
185,AB88711654,462,190,14
186,MB90484500,416,189,60
187,AB84024303,865,188,36
188,AP04917840,192,188,8
189,MB66082389_f,267,188,21
190,AP04931834,543,188,12
191,SB26964162,386,187,60
192,AB93378367_f,1171,187,21
193,SB22244103_f,229,187,21
194,LP04672450,227,187,2
195,LB17916637_f,356,186,21
196,MB66083100,203,186,20
197,KB15234311_f,580,186,21
198,SB26964379,343,186,80
199,MB89979518,759,185,48
200,SP04665273,205,185,24
201,LB17973531,381,185,4
202,YP04921096_f,220,184,21
203,LB16877146,309,184,4
204,AB91015486,896,184,50
205,SB28267689_f,397,184,21
206,YP04713704,418,184,8
207,MB78984213,1130,184,20
208,AB73250094_f,1001,184,21
209,AP04917845,212,184,8
210,SP04848173,203,183,4
211,SP04839430,211,183,24
212,AP04846802_f,646,182,21
213,AP04917841,202,182,8
214,YP04543609,248,182,21
215,LB17404767,467,182,6
216,MB66083812_f,214,182,21
217,KB15234337,407,182,6
218,SB28267692_f,216,181,21
219,LB16733840_f,466,181,21
220,AB88711638,278,180,14
221,LB15815837,752,180,6
222,LB15815811,708,180,12
223,AB93378244_f,806,180,21
224,SP04768810_f,199,179,21
225,LP04937869_f,244,178,21
226,SP04888614,198,178,16
227,MB90077551,660,178,66
228,YP04543623_f,218,178,21
229,AP04743286,365,178,24
230,MB90481451,393,177,70
231,LB16734441_f,442,177,21
232,YB25866669,307,177,21
233,AB86711601_f,1100,177,21
234,AB86711753_f,1164,176,21
235,SB26964612,361,176,80
236,KP04918733_f,188,176,21
237,SP04768778_f,188,176,21
238,LP04933549,206,175,6
239,SB26964159_f,341,175,21
240,KP04742107,267,175,10
241,MB78984873,1018,175,20
242,LB17473293,371,175,12
243,SP04594715,211,175,15
244,YP04921091_f,199,175,21
245,SP04768777_f,187,175,21
246,YP04572010,203,175,8
247,YP04572014,314,174,8
248,SP04902711,178,174,10
249,SP04761747,202,174,8
250,AB88718903_f,276,173,21
251,SP04768712_f,185,173,21
252,KB15234256,382,173,6
253,MP04890576,192,173,4
254,SP04761732,189,173,18
255,LB16838907,229,173,12
256,SB26964175,311,172,55
257,SP04902147,196,172,10
258,SP04692060,220,172,10
259,MB78983793,980,172,20
260,MB78318520,243,172,26
261,YP04921094,216,172,12
262,SP04768800_f,179,171,21
263,SB25489774,369,171,72
264,LB18023590,645,171,12
265,MB68634900,206,171,48
266,AB84936404,596,170,12
267,YP04543615,222,170,21
268,SB27767562,221,170,60
269,AB88713827,372,170,18
270,MB89982068_f,655,170,21
271,SP04761734,190,170,13
272,YP04734542,189,169,4
273,MB22110884,645,169,150
274,AB92079007_f,924,169,21
275,SP04768801_f,185,169,21
276,MB66455123_f,385,169,21
277,SB26964366,338,169,80
278,SB26964861,345,168,81
279,SB26964764,322,168,80
280,SP04902150,192,168,10
281,AB91015347,817,168,50
282,AB87085514,772,167,12
283,MB59341422,906,167,36
284,SB26964434_f,344,167,21
285,AB88713597_f,183,167,21
286,YP04734520,179,167,4
287,AP04844130,178,167,8
288,AB73579623_f,1131,166,21
289,YP04921097,178,166,12
290,AP04846800,422,166,15
291,KB15234353,530,165,72
292,MB66078717_f,238,165,21
293,SB27767546_f,465,165,21
294,LB16733468_f,402,165,21
295,SP04900521,185,165,12
296,YP04921093,189,165,16
297,MB66082088_f,232,165,21
298,KP04946041,177,165,8
299,KB16345199_f,336,164,21
300,LP04712358,177,164,6
301,KP04832297,171,163,10
302,LB17791807_f,526,163,21
303,MB93484099,292,163,6
304,SP04893320,199,163,12
305,LB17404741,337,162,4
306,SP04768809_f,190,162,21
307,SP04768811_f,178,162,21
308,MB66077352_f,258,162,21
309,AP04826212,178,162,2
310,LB17822543_f,312,162,21
311,SP04768799_f,186,162,21
312,AB91015606,763,161,50
313,MB66082499_f,242,161,21
314,LB17923743,673,161,12
315,MB89979246_f,664,161,21
316,AB94145544,352,161,20
317,SP04893321,176,160,12
318,AB87183982_f,1006,160,21
319,YP04734524,188,160,4
320,SP04904984_f,160,160,21
321,LB17513344,311,160,4
322,KB15234379,364,160,6
323,AB74480135,361,160,36
324,YB25866711,347,159,21
325,LP04930863,163,159,8
326,LB17344050,179,159,2
327,MB78983230,961,159,20
328,AB83965324,641,159,36
329,YP04921089,175,159,16
330,AB87085637,776,159,12
331,AB91016236,762,159,50
332,YP04597050_f,213,159,21
333,YB28176550,648,159,48
334,YP04543592_f,208,159,21
335,SP04748457,190,158,10
336,MB66077938_f,319,158,21
337,SP04785886_f,194,158,21
338,SP04810789,178,158,30
339,LB17517858_f,186,158,21
340,SB23697225,305,158,48
341,SB27767630,388,158,60
342,SP04761742,181,157,20
343,YP04758480,177,157,4
344,AB88713717_f,201,157,21
345,SP04847344,178,157,27
346,MB60600628,730,157,20
347,LB15815798_f,514,157,21
348,SP04893323,213,157,12
349,SP04725150,169,157,16
350,SP04902712,185,157,10
351,MB66082169,169,157,20
352,AP04795221,1017,157,24
353,YP04758479,189,157,4
354,LP04933550,187,156,6
355,SB26463553,372,156,77
356,AP04846800_f,413,156,21
357,MB93450007_f,484,156,21
358,YP04543639_f,188,156,21
359,AP04900222_f,195,156,21
360,LB16734409_f,340,156,21
361,AB93105116,1462,156,48
362,LB17136103,460,156,36
363,AP04917846,184,156,8
364,AB74380125,796,156,36
365,AB75070515,260,155,6
366,KP04908127_f,159,155,21
367,YP04572000,187,155,8
368,AB91015981,746,155,50
369,AP04897380,210,155,12
370,KB16185498_f,629,155,21
371,LP04938814_f,178,154,21
372,LP04930864,182,154,8
373,AB92935963,398,154,72
374,LB17998778,649,153,12
375,SP04893317,177,153,15
376,AP04743284,250,153,8
377,YP04543645_f,168,153,21
378,SP04761744_f,185,153,21
379,LB18050259,375,153,6
380,SP04768713_f,176,152,21
381,YP04571997,268,152,8
382,MB66081539_f,206,152,21
383,AP04931834_f,440,151,21
384,MB66076421,168,151,18
385,MB78983984_f,945,151,21
386,SP04748456,179,151,10
387,AB91840334,339,151,36
388,MB50468265,612,151,66
389,LP04930862,169,150,8
390,MB91377072,992,150,60
391,AB93606071,378,150,20
392,KB15234337_f,341,150,21
393,YB27249750,525,149,60
394,MB66078445_f,317,149,21
395,SP04810790,169,149,30
396,KB15234230_f,364,149,21
397,AB91015486_f,702,149,21
398,SP04677555_f,165,149,21
399,SB26964942,295,148,86
400,LB17404783_f,324,148,21
401,SB25489761,156,148,72
402,YP04572010_f,172,148,21
403,AB88711654_f,357,148,21
404,AB93377672_f,859,148,21
405,AB73250078_f,786,147,21
406,MB66452359,325,147,50
407,MB11582795,180,147,50
408,LP04930861,155,147,8
409,MB40618261,1064,147,21
410,SB25489787,155,147,72
411,SP04761743,186,146,21
412,SP04847343,162,146,20
413,LB17344199,338,146,6
414,KB16333774,250,146,24
415,MB89979518_f,592,145,21
416,LB16733565,254,145,4
417,AB93377656,951,145,48
418,LP04929819,165,145,2
419,SP04692060_f,165,145,21
420,AP04870516,153,145,2
421,MB93482114_f,644,145,21
422,MB65830448,405,145,13
423,KP04899272,169,145,6
424,SB27918421,335,144,78
425,MB90481082_f,620,144,21
426,SP04877615,168,144,5
427,SP04769335,165,144,32
428,MB66078199_f,331,144,21
429,YP04734527,172,144,4
430,AB93378121,920,144,48
431,AP04900734,292,144,12
432,MB40617796_f,1073,144,21
433,MP04875351_f,165,144,21
434,YB27249695,505,143,60
435,KB15871525,694,143,12
436,MB90481451_f,335,143,21
437,MP04890576_f,158,143,21
438,AB91790361,783,143,72
439,LB17517874_f,175,143,21
440,AP04743286_f,294,143,21
441,YP04572014_f,257,143,21
442,MB66457480,299,143,48
443,SB26964353,298,143,80
444,LB17136080,458,143,36
445,MB66084099,173,143,20
446,SB22244394,275,143,30
447,KP04769885,167,143,10
448,AB93715852,396,142,24
449,LB17403360_f,576,142,21
450,AB74377073,313,142,12
451,SP04888614_f,158,142,21
452,AB72088490,320,142,12
453,SP04840814,170,142,4
454,SB26964719,185,141,80
455,AP04917841_f,157,141,21
456,LP04712358_f,157,141,21
457,AB91015318,779,141,50
458,MB78982707_f,907,141,21
459,MB65830642,387,141,12
460,AP04917842,144,140,8
461,SP04893319,168,140,15
462,YB28176673,556,140,48
463,MB66081403,195,140,20
464,MB93484099_f,225,140,21
465,MB66455369,284,140,36
466,SB23697254,257,140,48
467,LB18108868,260,139,4
468,SP04800262,151,139,20
469,MB66456834,299,139,42
470,AB88713827_f,302,139,21
471,LB17344034,391,139,6
472,YP04734526,147,139,4
473,AB79800765_f,280,138,21
474,SB26964531,262,138,80
475,SB26964162_f,307,138,21
476,SP04775615_f,190,138,21
477,YB27840939,501,138,12
478,MB65831036,328,138,24
479,YB27249514_f,197,138,21
480,AB88711638_f,219,138,21
481,AB93579836,169,138,24
482,AB88717690,309,137,17
483,LP04672450_f,153,137,21
484,AB88713584,305,137,18
485,LB16411340_f,406,137,21
486,SB28015954,149,137,25
487,SB26964939,272,137,80
488,LB16877146_f,243,137,21
489,MB66455686,285,137,47
490,SB26964612_f,293,137,21
491,YP04543593,177,137,21
492,YP04571996,180,137,8
493,SP04888612,157,137,15
494,AB92973983,657,137,18
495,MB66077527,283,136,18
496,MB90484500_f,323,136,21
497,LB16733523_f,361,136,21
498,MB89979288_f,544,136,21
499,YP04543615_f,184,136,21
500,YB26051059,292,136,12
501,YB25866669_f,232,136,21
502,LB17973573_f,466,135,21
503,AB94145531,260,135,20
504,SB26964175_f,270,135,21
505,LB17765325,484,135,36
506,AB84936556,419,135,12
507,SB26964337_f,268,135,21
508,AB74379518,691,135,24
509,MB65831175,286,134,24
510,AB84024303_f,568,134,21
511,SP04848173_f,166,134,21
512,LB15815811_f,535,134,21
513,SB26964382,243,134,80
514,MB26546315,389,134,20
515,YB25866708,284,134,21
516,KB15871664,584,134,12
517,SB27918418,271,134,78
518,YP04713704_f,283,133,21
519,LB17973531_f,312,133,21
520,MB90077551_f,496,133,21
521,MB65830574_f,435,133,21
522,MP04751710,165,133,4
523,SP04839424_f,152,132,21
524,YP04921090,144,132,16
525,AB74380015,681,132,48
526,SB26964832,262,132,80
527,YP04921097_f,149,132,21
528,MB89980183,544,132,48
529,YP04543609_f,185,132,21
530,SB26964874,216,132,80
531,AB74379495,675,132,36
532,SB28015967,148,132,25
533,SP04891513,144,132,16
534,MB90482803_f,375,132,21
535,YP04843762,152,132,12
536,MB91362702,545,132,60
537,AB93378600,808,132,24
538,AP04931832,230,131,4
539,MB65831023,208,131,24
540,AB74380141,672,131,24
541,MB66083100_f,139,131,21
542,AP04874455,163,131,12
543,MB65830558,186,131,12
544,AB92974364,638,130,18
545,SP04893318,134,130,15
546,AP04897376,150,130,3
547,AB93378749,802,130,24
548,YP04903292,134,130,2
549,YP04543608,169,130,21
550,AB72088490_f,272,130,21
551,MB66082169_f,138,130,21
552,MB91357238,547,129,60
553,YB27249501_f,209,129,21
554,LB16437104,317,129,6
555,AB93105611,1084,129,48
556,SP04662799,149,129,10
557,SP04894976,141,129,10
558,AP04743285,223,129,6
559,MB65830516,435,129,12
560,SB26964845,286,129,80
561,MB65831162,217,129,24
562,SP04665273_f,133,129,21
563,MB91363549,545,129,60
564,YP04734525,149,129,4
565,MB26545918,377,129,20
566,LB16734506,390,128,12
567,SP04761747_f,144,128,21
568,AP04795221_f,919,128,21
569,LP04930862_f,150,128,21
570,LB18057265,296,128,8
571,MB65830833,164,128,36
572,KB15373188_f,298,128,21
573,MB78983793_f,784,128,21
574,MB76475339,304,128,21
575,MB91375304,541,128,60
576,SB26964968,224,128,80
577,LB18023590_f,517,128,21
578,MB89980879,458,128,42
579,SP04733569,135,127,12
580,AB91015606_f,603,127,21
581,MB89981661,526,127,60
582,LB15815837_f,528,127,21
583,SP04902708,139,127,4
584,SP04810789_f,143,127,21
585,SP04902150_f,155,127,21
586,SP04761734_f,139,127,21
587,AP04930579_f,400,127,21
588,MB78318520_f,166,127,21
589,AP04795218,842,127,24
590,SB28267825,283,127,115
591,SP04761732_f,134,126,21
592,SB26964751,242,126,80
593,MB22110884_f,484,126,21
594,MB78984213_f,911,126,21
595,SB27918405,153,126,78
596,SP04839430_f,134,126,21
597,LP04930863_f,126,126,21
598,MB90476819,266,126,42
599,LB18108868_f,223,126,21
600,AB83967128,708,126,36
601,SB28267812,235,126,120
602,AB91015363_f,511,126,21
603,SB25489774_f,262,125,21
604,AB87085514_f,568,125,21
605,SB26964201,227,125,55
606,AP04844130_f,135,125,21
607,YB26051046,274,125,12
608,YP04574135,203,125,21
609,AP04795219,841,125,24
610,KB15234353_f,419,125,21
611,SB23697225_f,249,125,21
612,SP04902147_f,149,125,21
613,SB27767562_f,181,125,21
614,MB66083029,155,124,20
615,AB83965324_f,495,124,21
616,KP04922348,148,124,8
617,SP04902712_f,136,124,21
618,LB17404767_f,329,124,21
619,MB78984873_f,802,124,21
620,LB17129657,466,124,20
621,LB16134096,402,124,6
622,MB90077674,466,124,70
623,KP04899275,136,124,6
624,MB66084099_f,138,124,21
625,MB65830422,216,124,12
626,AB84024154,529,124,36
627,SP04847348,150,123,20
628,AB74480135_f,260,123,21
629,SB26964926,235,123,80
630,YP04713707,178,123,8
631,MB91376769,517,123,60
632,MB55247148,198,123,21
633,AB84936404_f,433,123,21
634,YB25866711_f,271,123,21
635,AP04917840_f,123,123,21
636,LP04933549_f,146,123,21
637,SB27918434,156,123,78
638,YP04903297,135,123,2
639,SB27767630_f,296,123,21
640,LB17358253,227,123,4
641,LB16838907_f,163,123,21
642,YP04921094_f,147,123,21
643,SB26964379_f,224,123,21
644,SB26964340,242,122,80
645,YP04900487,164,122,30
646,MB91359304,505,122,60
647,LB17445807,377,122,72
648,KP04922345,146,122,8
649,MB89981247,517,122,60
650,YP04571997_f,190,122,21
651,MB35335339,518,122,48
652,AP04917845_f,134,122,21
653,SP04741999,146,122,10
654,LP04857858,146,122,2
655,LB17358295,217,122,4
656,LP04930864_f,142,122,21
657,KP04745899,158,122,6
658,MP04865890,130,122,4
659,AP04897380_f,155,122,21
660,SB26964861_f,259,122,21
661,SP04840591,135,122,4
662,LB18050259_f,344,122,21
663,SP04625624,126,122,7
664,MB65831188,183,122,24
665,KB15871664_f,545,121,21
666,KP04832297_f,129,121,21
667,AB83966996,618,121,36
668,SP04725150_f,121,121,21
669,MB78983230_f,765,121,21
670,YP04734542_f,137,121,21
671,YP04759265,133,121,10
672,MB11582795_f,158,121,21
673,SP04904985,133,121,16
674,YB26051033,141,121,12
675,KP04922347,133,121,8
676,SB26463553_f,279,120,21
677,MB65831049,168,120,24
678,MB65830626,266,120,12
679,SB27618307,144,120,25
680,YP04921092,132,120,16
681,MB91363400,509,120,60
682,KP04859901,132,120,10
683,YB25866724,213,120,21
684,KB15234256_f,263,120,21
685,MB60600628_f,542,119,21
686,YB27249750_f,402,119,21
687,LB17935650,235,119,6
688,SP04893320_f,167,119,21
689,MB11583299,144,119,50
690,AP04900732,246,119,12
691,SP04594715_f,159,119,21
692,SP04800006,123,119,16
693,SB26964188,236,119,55
694,MB59341422_f,657,119,21
695,AB92973983_f,565,119,21
696,MB66456834_f,277,119,21
697,SB22244129,148,119,30
698,SP04900521_f,146,118,21
699,SP04884852,126,118,4
700,AB94145544_f,291,118,21
701,SB26964955,226,118,80
702,SP04733569_f,126,118,21
703,LB17923743_f,499,118,21
704,SB26964133,190,118,55
705,LP04934425,135,117,4
706,AB73347198,117,117,12
707,MB66081403_f,172,117,21
708,LB17420068,240,117,12
709,KP04810364,124,117,4
710,KP04946041_f,121,117,21
711,SP04748457_f,141,117,21
712,KB16333774_f,199,117,21
713,YP04734524_f,137,117,21
714,MB11583480,149,117,50
715,MB66078911,187,117,18
716,MB91373348,573,117,60
717,SP04902711_f,121,117,21
718,SB26964764_f,235,117,21
719,LP04930861_f,129,117,21
720,KP04742107_f,177,117,21
721,YP04734520_f,121,117,21
722,MB65830642_f,331,117,21
723,SP04891515,140,116,12
724,SP04893321_f,116,116,21
725,YP04921093_f,136,116,21
726,LP04857860,124,116,2
727,LB17731553,134,116,12
728,AB74380044,588,116,36
729,MB89981603,477,116,66
730,SB26964366_f,213,116,21
731,LB17537919,270,116,8
732,LB17422079,174,116,5
733,MB90481846,259,116,70
734,AB83967157,673,116,36
735,SB26964557,189,115,80
736,SB26964560,154,115,80
737,LB17445700,296,115,36
738,LB17344076,234,115,4
739,LB17136103_f,347,115,21
740,SP04888633,123,115,20
741,AB73257000,294,115,24
742,SB26964191,255,115,55
743,MP04704868,275,115,10
744,AB74377044,252,115,18
745,SP04785884,135,115,16
746,LB17136080_f,391,115,21
747,MB40618261_f,853,115,21
748,MB65831117,164,114,24
749,LB17344050_f,122,114,21
750,LB17473293_f,239,114,21
751,LB17998778_f,482,114,21
752,SP04761742_f,138,114,21
753,SB26964573,141,114,80
754,MB66457480_f,263,114,21
755,LB16962035,385,114,72
756,SB22841593,122,114,80
757,SP04893323_f,134,114,21
758,SB26964719_f,139,114,21
759,MB91354396,565,114,60
760,YP04921089_f,118,114,21
761,YP04543595,130,114,21
762,SB26964463,192,113,80
763,AP04743283,216,113,8
764,KB15871525_f,554,113,21
765,MB68634900_f,149,113,21
766,AB91840363,258,113,36
767,MB91395931,691,113,60
768,YP04597048,208,113,21
769,SP04893322,129,113,12
770,SP04809614,125,113,27
771,AP04897381,153,113,12
772,KB15373162,250,113,6
773,YB25866643,231,113,21
774,AP04743275,371,113,20
775,SP04904982,125,113,16
776,SP04877615_f,129,113,21
777,AB84679392,299,113,12
778,AB87085637_f,527,113,21
779,SP04785885,145,113,16
780,YP04571999,178,112,8
781,AP04900733,229,112,12
782,SP04893319_f,144,112,21
783,LB18057223,229,112,8
784,LB17344254,266,112,6
785,SP04884857,132,112,4
786,LB17358279,214,112,4
787,SB26964942_f,218,112,21
788,MB65830448_f,306,112,21
789,SB27529881,276,112,110
790,AP04931831,209,111,4
791,SP04867406,123,111,6
792,SP04761743_f,139,111,21
793,MB89979628,454,111,36
794,AB91840334_f,240,111,21
795,AB84585538,770,111,72
796,AB88713584_f,254,111,21
797,MB13804374,244,111,24
798,YP04543585,133,111,21
799,MB91362702_f,457,111,21
800,LB17404741_f,226,111,21
801,MB35348397,468,111,48
802,MP04129036,137,111,21
803,MP04751711,126,111,4
804,SP04748458,131,111,10
805,YB26791937,201,110,36
806,SP04913552,122,110,12
807,LB16733565_f,173,110,21
808,LB17445768,262,110,36
809,YP04758479_f,146,110,21
810,MB93469108,224,110,6
811,SB22841603,130,110,80
812,MB50468265_f,452,110,21
813,YP04543618,118,110,21
814,KB16056323,198,110,5
815,MB66076421_f,129,110,21
816,SP04742151,126,110,36
817,MB91377218,710,110,60
818,SP04848174,114,110,4
819,AB91016236_f,527,110,21
820,AB75070515_f,162,109,21
821,MB66452359_f,237,109,21
822,YB28176550_f,428,109,21
823,LB18107403,211,109,6
824,AB84024219,595,109,36
825,SB25489389,125,109,84
826,YP04758480_f,129,109,21
827,AB93715852_f,311,109,21
828,LP04933550_f,144,109,21
829,MB65831104,266,109,24
830,LB17849665,130,108,24
831,SP04891516,116,108,12
832,AB91015347_f,508,108,21
833,MB91390305,733,108,60
834,AP04826212_f,116,108,21
835,MB91374648,524,108,60
836,MP04751708,124,108,4
837,AB74380125_f,552,108,21
838,AP04743284_f,179,108,21
839,MB89980879_f,376,108,21
840,LB17603144,130,108,8
841,KB15234379_f,258,108,21
842,YB27249695_f,359,108,21
843,SP04742150,107,107,36
844,SP04664525,115,107,10
845,AB87179378,580,107,12
846,MB91377072_f,717,107,21
847,LP04934425_f,111,107,21
848,SB22841616,234,107,92
849,LB17849649,131,107,24
850,AB93378121_f,655,107,21
851,SB22244394_f,223,107,21
852,SB26964531_f,199,107,21
853,AB93377656_f,717,106,21
854,LB17358318,197,106,4
855,MB89981247_f,442,106,21
856,SB26964382_f,187,106,21
857,SB25491791,110,106,84
858,SB26964353_f,218,106,21
859,YP04571987,115,106,8
860,YP04543608_f,144,106,21
861,SB26964845_f,221,106,21
862,MB35344469,436,106,48
863,MB66077527_f,214,106,21
864,SP04707345,126,106,10
865,SB22841629,228,106,80
866,MB90481286,264,106,70
867,AB83969799,495,106,36
868,LB17445807_f,293,106,21
869,SP04891514,114,106,16
870,LB17344034_f,260,106,21
871,MB73897350,434,106,42
872,LB17513344_f,202,106,21
873,SP04761741,122,106,20
874,MB66455369_f,216,106,21
875,LB16770832,382,106,20
876,MB66458434,234,105,48
877,AP04917846_f,121,105,21
878,MB91364742,430,105,60
879,SB25489761_f,113,105,21
880,SB27975341,140,105,24
881,MB91373089,512,105,60
882,KB16203367,444,105,60
883,YP04734526_f,117,105,21
884,YP04543605,214,105,21
885,MB76475216,250,105,21
886,YB25866708_f,215,105,21
887,MB90482706,220,105,48
888,MB55247148_f,183,105,21
889,SB27918421_f,252,104,21
890,SP04910223,112,104,12
891,SB25489787_f,112,104,21
892,AB93105116_f,937,104,21
893,AB88717690_f,234,104,21
894,YP04597049,334,104,21
895,AB91790361_f,598,104,21
896,SP04852449,130,104,14
897,SP04793839,120,104,4
898,LB16733824,324,104,6
899,YP04852837,120,104,4
900,SB26964395,175,104,80
901,SB27529894,219,103,110
902,SP04840814_f,127,103,21
903,LB18107186,424,103,6
904,MP04877071,124,103,4
905,AB84936433,198,103,12
906,MB84572855,420,103,50
907,SP04893317_f,107,103,21
908,YP04543613,119,103,21
909,KB15394057,151,103,12
910,YP04734525_f,115,103,21
911,MB66078911_f,165,103,21
912,AB84024154_f,392,103,21
913,KB15234719,321,103,72
914,SB25489363,123,103,84
915,AB93105611_f,876,103,21
916,SP04847350,116,103,20
917,MB65831036_f,254,103,21
918,MB64996639,237,103,48
919,YP04938242,123,103,2
920,LB17129657_f,378,103,21
921,LB17420068_f,230,103,21
922,SP04847343_f,114,102,21
923,SP04884855,110,102,4
924,MB65830516_f,330,102,21
925,MB66458625,210,102,48
926,YP04543629,122,102,21
927,LB17344199_f,267,102,21
928,MB80865511,746,102,60
929,SP04847346,106,102,20
930,LP04857859,106,102,2
931,KB16203341,445,102,60
932,KP04899272_f,126,102,21
933,SP04912904,114,102,27
934,YP04713707_f,150,102,21
935,AB74379550,513,102,24
936,MB65831023_f,170,102,21
937,MB89980183_f,421,102,21
938,SP04902708_f,110,102,21
939,AP04917843,105,101,8
940,MB65830833_f,134,101,21
941,MB66458641,213,101,66
942,MB66083715,107,101,20
943,YP04903292_f,101,101,21
944,SP04894977,113,101,10
